Loan_ID,Female,Married,Dependents,Education,Self-Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan-status
LP001245,Male,1,2,Not Graduate,1,1875.00,1875.00,97.00,360,1,Semiurban,1
LP001248,Male,0,0,Graduate,0,3500.00,0.00,81.00,300,1,Semiurban,1
LP001250,Male,1,3,Not Graduate,0,4755.00,0.00,95.00,60,0,Semiurban,0
LP001253,Male,1,3,Graduate,1,5266.00,1774.00,187.00,360,1,Semiurban,1
LP001255,Male,0,0,Graduate,0,3750.00,0.00,113.00,480,1,Urban,0
LP001256,Male,0,0,Graduate,0,3750.00,4750.00,176.00,360,1,Urban,0
LP001259,Male,1,1,Graduate,1,1000.00,3022.00,110.00,360,1,Urban,0
LP001263,Male,1,3,Graduate,0,3167.00,4000.00,180.00,300,0,Semiurban,0
LP001264,Male,1,3,Not Graduate,1,3333.00,2166.00,130.00,360,0,Semiurban,1
LP001265,Female,0,0,Graduate,0,3846.00,0.00,111.00,360,1,Semiurban,1
LP001266,Male,1,1,Graduate,1,2395.00,0.00,156.00,360,1,Semiurban,1
LP001267,Female,1,2,Graduate,0,1378.00,1881.00,167.00,360,1,Urban,0
LP001273,Male,1,0,Graduate,0,6000.00,2250.00,265.00,360,1,Semiurban,0
LP001275,Male,1,1,Graduate,0,3988.00,0.00,50.00,240,1,Urban,1
LP001279,Male,0,0,Graduate,0,2366.00,2531.00,136.00,360,1,Semiurban,1
LP001280,Male,1,2,Not Graduate,0,3333.00,2000.00,99.00,360,0,Semiurban,1
LP001282,Male,1,0,Graduate,0,2500.00,2118.00,104.00,360,1,Semiurban,1
LP001289,Male,0,0,Graduate,0,8566.00,0.00,210.00,360,1,Urban,1
LP001310,Male,1,0,Graduate,0,5695.00,4167.00,175.00,360,1,Semiurban,1
LP001316,Male,1,0,Graduate,0,2958.00,2900.00,131.00,360,1,Semiurban,1
LP001318,Male,1,2,Graduate,0,6250.00,5654.00,188.00,180,1,Semiurban,1
LP001319,Male,1,2,Not Graduate,0,3273.00,1820.00,81.00,360,1,Urban,1
LP001322,Male,0,0,Graduate,0,4133.00,0.00,122.00,360,1,Semiurban,1
LP001325,Male,0,0,Not Graduate,0,3620.00,0.00,25.00,120,1,Semiurban,1
LP001326,Male,0,0,Graduate,1,6782.00,0.00,102.00,360,1,Urban,0
LP001327,Female,1,0,Graduate,0,2484.00,2302.00,137.00,360,1,Semiurban,1
LP001333,Male,1,0,Graduate,0,1977.00,997.00,50.00,360,1,Semiurban,1
LP001334,Male,1,0,Not Graduate,0,4188.00,0.00,115.00,180,1,Semiurban,1
LP001343,Male,1,0,Graduate,0,1759.00,3541.00,131.00,360,1,Semiurban,1
LP001345,Male,1,2,Not Graduate,0,4288.00,3263.00,133.00,180,1,Urban,1
LP001349,Male,0,0,Graduate,0,4843.00,3806.00,151.00,360,1,Semiurban,1
LP001350,Male,1,2,Graduate,0,13650.00,0.00,145.00,360,1,Urban,1
LP001356,Male,1,0,Graduate,0,4652.00,3583.00,167.00,360,1,Semiurban,1
LP001357,Male,0,2,Graduate,0,3816.00,754.00,160.00,360,1,Urban,1
LP001367,Male,1,1,Graduate,0,3052.00,1030.00,100.00,360,1,Urban,1
LP001369,Male,1,2,Graduate,0,11417.00,1126.00,225.00,360,1,Urban,1
LP001370,Male,0,0,Not Graduate,1,7333.00,0.00,120.00,360,1,Rural,0
LP001379,Male,1,2,Graduate,0,3800.00,3600.00,216.00,360,0,Urban,0
LP001384,Male,1,3,Not Graduate,0,2071.00,754.00,94.00,480,1,Semiurban,1
LP001385,Male,0,0,Graduate,0,5316.00,0.00,136.00,360,1,Urban,1
LP001387,Female,1,0,Graduate,1,2929.00,2333.00,139.00,360,1,Semiurban,1
LP001391,Male,1,0,Not Graduate,0,3572.00,4114.00,152.00,80,0,Rural,0
LP001392,Female,0,1,Graduate,1,7451.00,0.00,167.00,360,1,Semiurban,1
LP001398,Male,0,0,Graduate,1,5050.00,0.00,118.00,360,1,Semiurban,1
LP001401,Male,1,1,Graduate,0,14583.00,0.00,185.00,180,1,Rural,1
LP001404,Female,1,0,Graduate,0,3167.00,2283.00,154.00,360,1,Semiurban,1
LP001405,Male,1,1,Graduate,0,2214.00,1398.00,85.00,360,1,Urban,1
LP001421,Male,1,0,Graduate,0,5568.00,2142.00,175.00,360,1,Rural,0
LP001422,Female,0,0,Graduate,0,10408.00,0.00,259.00,360,1,Urban,1
LP001426,Male,1,0,Graduate,0,5667.00,2667.00,180.00,360,1,Rural,1
LP001430,Female,0,0,Graduate,0,4166.00,0.00,44.00,360,1,Semiurban,1
LP001431,Female,0,0,Graduate,0,2137.00,8980.00,137.00,360,0,Semiurban,1
LP001432,Male,1,2,Graduate,0,2957.00,0.00,81.00,360,1,Semiurban,1
LP001439,Male,1,0,Not Graduate,0,4300.00,2014.00,194.00,360,1,Rural,1
LP001443,Female,0,0,Graduate,0,3692.00,0.00,93.00,360,0,Rural,1
LP001448,Female,1,3,Graduate,0,23803.00,0.00,370.00,360,1,Rural,1
LP001449,Male,0,0,Graduate,0,3865.00,1640.00,267.00,360,1,Rural,1
LP001451,Male,1,1,Graduate,1,10513.00,3850.00,160.00,180,0,Urban,0
LP001465,Male,1,0,Graduate,0,6080.00,2569.00,182.00,360,1,Rural,0
LP001469,Male,0,0,Graduate,1,20166.00,0.00,650.00,480,1,Urban,1
LP001473,Male,0,0,Graduate,0,2014.00,1929.00,74.00,360,1,Urban,1
LP001478,Male,0,0,Graduate,0,2718.00,0.00,70.00,360,1,Semiurban,1
LP001482,Male,1,0,Graduate,1,3459.00,0.00,25.00,120,1,Semiurban,1
LP001487,Male,0,0,Graduate,0,4895.00,0.00,102.00,360,1,Semiurban,1
LP001488,Male,1,3,Graduate,0,4000.00,7750.00,290.00,360,1,Semiurban,0
LP001489,Female,1,0,Graduate,0,4583.00,0.00,84.00,360,1,Rural,0
LP001491,Male,1,2,Graduate,1,3316.00,3500.00,88.00,360,1,Urban,1
LP001492,Male,0,0,Graduate,0,14999.00,0.00,242.00,360,0,Semiurban,0
LP001493,Male,1,2,Not Graduate,0,4200.00,1430.00,129.00,360,1,Rural,0
LP001497,Male,1,2,Graduate,0,5042.00,2083.00,185.00,360,1,Rural,0
LP001498,Male,0,0,Graduate,0,5417.00,0.00,168.00,360,1,Urban,1
LP001504,Male,0,0,Graduate,1,6950.00,0.00,175.00,180,1,Semiurban,1
LP001507,Male,1,0,Graduate,0,2698.00,2034.00,122.00,360,1,Semiurban,1
LP001508,Male,1,2,Graduate,0,11757.00,0.00,187.00,180,1,Urban,1
LP001514,Female,1,0,Graduate,0,2330.00,4486.00,100.00,360,1,Semiurban,1
LP001516,Female,1,2,Graduate,0,14866.00,0.00,70.00,360,1,Urban,1
LP001518,Male,1,1,Graduate,0,1538.00,1425.00,30.00,360,1,Urban,1
LP001519,Female,0,0,Graduate,0,10000.00,1666.00,225.00,360,1,Rural,0
LP001520,Male,1,0,Graduate,0,4860.00,830.00,125.00,360,1,Semiurban,1
LP001528,Male,0,0,Graduate,0,6277.00,0.00,118.00,360,0,Rural,0
LP001529,Male,1,0,Graduate,1,2577.00,3750.00,152.00,360,1,Rural,1
LP001531,Male,0,0,Graduate,0,9166.00,0.00,244.00,360,1,Urban,0
LP001532,Male,1,2,Not Graduate,0,2281.00,0.00,113.00,360,1,Rural,0
LP001535,Male,0,0,Graduate,0,3254.00,0.00,50.00,360,1,Urban,1
LP001536,Male,1,3,Graduate,0,39999.00,0.00,600.00,180,0,Semiurban,1
LP001541,Male,1,1,Graduate,0,6000.00,0.00,160.00,360,0,Rural,1
LP001543,Male,1,1,Graduate,0,9538.00,0.00,187.00,360,1,Urban,1
LP001546,Male,0,0,Graduate,1,2980.00,2083.00,120.00,360,1,Rural,1
LP001552,Male,1,0,Graduate,0,4583.00,5625.00,255.00,360,1,Semiurban,1
LP001560,Male,1,0,Not Graduate,0,1863.00,1041.00,98.00,360,1,Semiurban,1
LP001562,Male,1,0,Graduate,0,7933.00,0.00,275.00,360,1,Urban,0
LP001565,Male,1,1,Graduate,0,3089.00,1280.00,121.00,360,0,Semiurban,0
LP001570,Male,1,2,Graduate,0,4167.00,1447.00,158.00,360,1,Rural,1
LP001572,Male,1,0,Graduate,0,9323.00,0.00,75.00,180,1,Urban,1
LP001574,Male,1,0,Graduate,0,3707.00,3166.00,182.00,90,1,Rural,1
LP001577,Female,1,0,Graduate,0,4583.00,0.00,112.00,360,1,Rural,0
LP001578,Male,1,0,Graduate,0,2439.00,3333.00,129.00,360,1,Rural,1
LP001579,Male,0,0,Graduate,0,2237.00,0.00,63.00,480,0,Semiurban,0
LP001580,Male,1,2,Graduate,0,8000.00,0.00,200.00,360,1,Semiurban,1
LP001581,Male,1,0,Not Graduate,1,1820.00,1769.00,95.00,360,1,Rural,1
LP001585,Female,1,3,Graduate,0,51763.00,0.00,700.00,300,1,Urban,1
LP001586,Male,1,3,Not Graduate,0,3522.00,0.00,81.00,180,1,Rural,0
LP001594,Male,1,0,Graduate,0,5708.00,5625.00,187.00,360,1,Semiurban,1
LP001603,Male,1,0,Not Graduate,1,4344.00,736.00,87.00,360,1,Semiurban,0
LP001606,Male,1,0,Graduate,0,3497.00,1964.00,116.00,360,1,Rural,1
LP001608,Male,1,2,Graduate,0,2045.00,1619.00,101.00,360,1,Rural,1
LP001610,Male,1,3,Graduate,0,5516.00,11300.00,495.00,360,0,Semiurban,0
LP001616,Male,1,1,Graduate,0,3750.00,0.00,116.00,360,1,Semiurban,1
LP001630,Male,0,0,Not Graduate,0,2333.00,1451.00,102.00,480,0,Urban,0
LP001633,Male,1,1,Graduate,0,6400.00,7250.00,180.00,360,0,Urban,0
LP001634,Male,0,0,Graduate,0,1916.00,5063.00,67.00,360,1,Rural,0
LP001636,Male,1,0,Graduate,0,4600.00,0.00,73.00,180,1,Semiurban,1
LP001637,Male,1,1,Graduate,0,33846.00,0.00,260.00,360,1,Semiurban,0
LP001639,Female,1,0,Graduate,0,3625.00,0.00,108.00,360,1,Semiurban,1
LP001640,Male,1,0,Graduate,1,39147.00,4750.00,120.00,360,1,Semiurban,1
LP001641,Male,1,1,Graduate,1,2178.00,0.00,66.00,300,0,Rural,0
LP001643,Male,1,0,Graduate,0,2383.00,2138.00,58.00,360,1,Rural,1
LP001644,Female,1,0,Graduate,1,674.00,5296.00,168.00,360,1,Rural,1
LP001647,Male,1,0,Graduate,0,9328.00,0.00,188.00,180,1,Rural,1
LP001653,Male,0,0,Not Graduate,0,4885.00,0.00,48.00,360,1,Rural,1
LP001656,Male,0,0,Graduate,0,12000.00,0.00,164.00,360,1,Semiurban,0
LP001657,Male,1,0,Not Graduate,0,6033.00,0.00,160.00,360,1,Urban,0
LP001658,Male,0,0,Graduate,0,3858.00,0.00,76.00,360,1,Semiurban,1
LP001664,Male,0,0,Graduate,0,4191.00,0.00,120.00,360,1,Rural,1
LP001665,Male,1,1,Graduate,0,3125.00,2583.00,170.00,360,1,Semiurban,0
LP001666,Male,0,0,Graduate,0,8333.00,3750.00,187.00,360,1,Rural,1
LP001669,Female,0,0,Not Graduate,0,1907.00,2365.00,120.00,180,1,Urban,1
LP001671,Female,1,0,Graduate,0,3416.00,2816.00,113.00,360,0,Semiurban,1
LP001673,Male,0,0,Graduate,1,11000.00,0.00,83.00,360,1,Urban,0
LP001674,Male,1,1,Not Graduate,0,2600.00,2500.00,90.00,360,1,Semiurban,1
LP001677,Male,0,2,Graduate,0,4923.00,0.00,166.00,360,0,Semiurban,1
LP001682,Male,1,3,Not Graduate,0,3992.00,0.00,165.00,180,1,Urban,0
LP001688,Male,1,1,Not Graduate,0,3500.00,1083.00,135.00,360,1,Urban,1
LP001691,Male,1,2,Not Graduate,0,3917.00,0.00,124.00,360,1,Semiurban,1
LP001692,Female,0,0,Not Graduate,0,4408.00,0.00,120.00,360,1,Semiurban,1
LP001693,Female,0,0,Graduate,0,3244.00,0.00,80.00,360,1,Urban,1
LP001698,Male,0,0,Not Graduate,0,3975.00,2531.00,55.00,360,1,Rural,1
LP001699,Male,0,0,Graduate,0,2479.00,0.00,59.00,360,1,Urban,1
LP001702,Male,0,0,Graduate,0,3418.00,0.00,127.00,360,1,Semiurban,0
LP001708,Female,0,0,Graduate,0,10000.00,0.00,214.00,360,1,Semiurban,0
LP001711,Male,1,3,Graduate,0,3430.00,1250.00,128.00,360,0,Semiurban,0
LP001713,Male,1,1,Graduate,1,7787.00,0.00,240.00,360,1,Urban,1
LP001715,Male,1,3,Not Graduate,1,5703.00,0.00,130.00,360,1,Rural,1
LP001716,Male,1,0,Graduate,0,3173.00,3021.00,137.00,360,1,Urban,1
LP001720,Male,1,3,Not Graduate,0,3850.00,983.00,100.00,360,1,Semiurban,1
LP001722,Male,1,0,Graduate,0,150.00,1800.00,135.00,360,1,Rural,0
LP001726,Male,1,0,Graduate,0,3727.00,1775.00,131.00,360,1,Semiurban,1
LP001732,Male,1,2,Graduate,1,5000.00,0.00,72.00,360,0,Semiurban,0
LP001734,Female,1,2,Graduate,0,4283.00,2383.00,127.00,360,1,Semiurban,1
LP001736,Male,1,0,Graduate,0,2221.00,0.00,60.00,360,0,Urban,0
LP001743,Male,1,2,Graduate,0,4009.00,1717.00,116.00,360,1,Semiurban,1
LP001744,Male,0,0,Graduate,0,2971.00,2791.00,144.00,360,1,Semiurban,1
LP001749,Male,1,0,Graduate,0,7578.00,1010.00,175.00,180,1,Semiurban,1
LP001750,Male,1,0,Graduate,0,6250.00,0.00,128.00,360,1,Semiurban,1
LP001751,Male,1,0,Graduate,0,3250.00,0.00,170.00,360,1,Rural,0
LP001754,Male,1,2,Not Graduate,1,4735.00,0.00,138.00,360,1,Urban,0
LP001758,Male,1,2,Graduate,0,6250.00,1695.00,210.00,360,1,Semiurban,1
LP001760,Male,0,1,Graduate,0,4758.00,0.00,158.00,480,1,Semiurban,1
LP001761,Male,0,0,Graduate,1,6400.00,0.00,200.00,360,1,Rural,1
LP001765,Male,1,1,Graduate,0,2491.00,2054.00,104.00,360,1,Semiurban,1
LP001768,Male,1,0,Graduate,1,3716.00,0.00,42.00,180,1,Rural,1
LP001770,Male,0,0,Not Graduate,0,3189.00,2598.00,120.00,180,1,Rural,1
LP001776,Female,0,0,Graduate,0,8333.00,0.00,280.00,360,1,Semiurban,1
LP001778,Male,1,1,Graduate,0,3155.00,1779.00,140.00,360,1,Semiurban,1
LP001784,Male,1,1,Graduate,0,5500.00,1260.00,170.00,360,1,Rural,1
LP001786,Male,1,0,Graduate,1,5746.00,0.00,255.00,360,1,Urban,0
LP001788,Female,0,0,Graduate,1,3463.00,0.00,122.00,360,0,Urban,1
LP001790,Female,0,1,Graduate,0,3812.00,0.00,112.00,360,1,Rural,1
LP001792,Male,1,1,Graduate,0,3315.00,0.00,96.00,360,1,Semiurban,1
LP001798,Male,1,2,Graduate,0,5819.00,5000.00,120.00,360,1,Rural,1
LP001800,Male,1,1,Not Graduate,0,2510.00,1983.00,140.00,180,1,Urban,0
LP001806,Male,0,0,Graduate,0,2965.00,5701.00,155.00,60,1,Urban,1
LP001807,Male,1,2,Graduate,1,6250.00,1300.00,108.00,360,1,Rural,1
LP001811,Male,1,0,Not Graduate,0,3406.00,4417.00,123.00,360,1,Semiurban,1
LP001813,Male,0,0,Graduate,1,6050.00,4333.00,120.00,180,1,Urban,0
LP001814,Male,1,2,Graduate,0,9703.00,0.00,112.00,360,1,Urban,1
LP001819,Male,1,1,Not Graduate,0,6608.00,0.00,137.00,180,1,Urban,1
LP001824,Male,1,1,Graduate,0,2882.00,1843.00,123.00,480,1,Semiurban,1
LP001825,Male,1,0,Graduate,0,1809.00,1868.00,90.00,360,1,Urban,1
LP001835,Male,1,0,Not Graduate,0,1668.00,3890.00,201.00,360,0,Semiurban,0
LP001836,Female,0,2,Graduate,0,3427.00,0.00,138.00,360,1,Urban,0
LP001841,Male,0,0,Not Graduate,1,2583.00,2167.00,104.00,360,1,Rural,1
LP001843,Male,1,1,Not Graduate,0,2661.00,7101.00,279.00,180,1,Semiurban,1
LP001844,Male,0,0,Graduate,1,16250.00,0.00,192.00,360,0,Urban,0
LP001846,Female,0,3,Graduate,0,3083.00,0.00,255.00,360,1,Rural,1
LP001849,Male,0,0,Not Graduate,0,6045.00,0.00,115.00,360,0,Rural,0
LP001854,Male,1,3,Graduate,0,5250.00,0.00,94.00,360,1,Urban,0
LP001859,Male,1,0,Graduate,0,14683.00,2100.00,304.00,360,1,Rural,0
LP001864,Male,1,3,Not Graduate,0,4931.00,0.00,128.00,360,1,Semiurban,0
LP001865,Male,1,1,Graduate,0,6083.00,4250.00,330.00,360,0,Urban,1
LP001868,Male,0,0,Graduate,0,2060.00,2209.00,134.00,360,1,Semiurban,1
LP001870,Female,0,1,Graduate,0,3481.00,0.00,155.00,36,1,Semiurban,0
LP001871,Female,0,0,Graduate,0,7200.00,0.00,120.00,360,1,Rural,1
LP001872,Male,0,0,Graduate,1,5166.00,0.00,128.00,360,1,Semiurban,1
LP001875,Male,0,0,Graduate,0,4095.00,3447.00,151.00,360,1,Rural,1
LP001877,Male,1,2,Graduate,0,4708.00,1387.00,150.00,360,1,Semiurban,1
LP001882,Male,1,3,Graduate,0,4333.00,1811.00,160.00,360,0,Urban,1
LP001883,Female,0,0,Graduate,1,3418.00,0.00,135.00,360,1,Rural,0
LP001884,Female,0,1,Graduate,0,2876.00,1560.00,90.00,360,1,Urban,1
LP001888,Female,0,0,Graduate,0,3237.00,0.00,30.00,360,1,Urban,1
LP001891,Male,1,0,Graduate,0,11146.00,0.00,136.00,360,1,Urban,1
LP001892,Male,0,0,Graduate,0,2833.00,1857.00,126.00,360,1,Rural,1
LP001894,Male,1,0,Graduate,0,2620.00,2223.00,150.00,360,1,Semiurban,1
LP001896,Male,1,2,Graduate,0,3900.00,0.00,90.00,360,1,Semiurban,1
LP001900,Male,1,1,Graduate,0,2750.00,1842.00,115.00,360,1,Semiurban,1
LP001903,Male,1,0,Graduate,0,3993.00,3274.00,207.00,360,1,Semiurban,1
LP001904,Male,1,0,Graduate,0,3103.00,1300.00,80.00,360,1,Urban,1
LP001907,Male,1,0,Graduate,0,14583.00,0.00,436.00,360,1,Semiurban,1
LP001908,Female,1,0,Not Graduate,0,4100.00,0.00,124.00,360,0,Rural,1
LP001910,Male,0,1,Not Graduate,1,4053.00,2426.00,158.00,360,0,Urban,0
LP001914,Male,1,0,Graduate,0,3927.00,800.00,112.00,360,1,Semiurban,1
LP001915,Male,1,2,Graduate,0,2301.00,985.80,78.00,180,1,Urban,1
LP001917,Female,0,0,Graduate,0,1811.00,1666.00,54.00,360,1,Urban,1
LP001922,Male,1,0,Graduate,0,20667.00,0.00,167.00,360,1,Rural,0
LP001924,Male,0,0,Graduate,0,3158.00,3053.00,89.00,360,1,Rural,1
LP001925,Female,0,0,Graduate,1,2600.00,1717.00,99.00,300,1,Semiurban,0
LP001926,Male,1,0,Graduate,0,3704.00,2000.00,120.00,360,1,Rural,1
LP001931,Female,0,0,Graduate,0,4124.00,0.00,115.00,360,1,Semiurban,1
LP001935,Male,0,0,Graduate,0,9508.00,0.00,187.00,360,1,Rural,1
LP001936,Male,1,0,Graduate,0,3075.00,2416.00,139.00,360,1,Rural,1
LP001938,Male,1,2,Graduate,0,4400.00,0.00,127.00,360,0,Semiurban,0
LP001940,Male,1,2,Graduate,0,3153.00,1560.00,134.00,360,1,Urban,1
LP001945,Female,0,1,Graduate,0,5417.00,0.00,143.00,480,0,Urban,0
LP001947,Male,1,0,Graduate,0,2383.00,3334.00,172.00,360,1,Semiurban,1
LP001949,Male,1,3,Graduate,1,4416.00,1250.00,110.00,360,1,Urban,1
LP001953,Male,1,1,Graduate,0,6875.00,0.00,200.00,360,1,Semiurban,1
LP001954,Female,1,1,Graduate,0,4666.00,0.00,135.00,360,1,Urban,1
LP001955,Female,0,0,Graduate,0,5000.00,2541.00,151.00,480,1,Rural,0
LP001963,Male,1,1,Graduate,0,2014.00,2925.00,113.00,360,1,Urban,0
LP001964,Male,1,0,Not Graduate,0,1800.00,2934.00,93.00,360,0,Urban,0
LP001972,Male,1,1,Not Graduate,0,2875.00,1750.00,105.00,360,1,Semiurban,1
LP001974,Female,0,0,Graduate,0,5000.00,0.00,132.00,360,1,Rural,1
LP001977,Male,1,1,Graduate,0,1625.00,1803.00,96.00,360,1,Urban,1
LP001978,Male,0,0,Graduate,0,4000.00,2500.00,140.00,360,1,Rural,1
LP001990,Male,0,0,Not Graduate,0,2000.00,0.00,137.00,360,1,Urban,0
LP001993,Female,0,0,Graduate,0,3762.00,1666.00,135.00,360,1,Rural,1
LP001994,Female,0,0,Graduate,0,2400.00,1863.00,104.00,360,0,Urban,0
LP001996,Male,0,0,Graduate,0,20233.00,0.00,480.00,360,1,Rural,0
LP001998,Male,1,2,Not Graduate,0,7667.00,0.00,185.00,360,1,Rural,1
LP002002,Female,0,0,Graduate,0,2917.00,0.00,84.00,360,1,Semiurban,1
LP002004,Male,0,0,Not Graduate,0,2927.00,2405.00,111.00,360,1,Semiurban,1
LP002006,Female,0,0,Graduate,0,2507.00,0.00,56.00,360,1,Rural,1
LP002008,Male,1,2,Graduate,1,5746.00,0.00,144.00,84,1,Rural,1
LP002024,Female,1,0,Graduate,0,2473.00,1843.00,159.00,360,1,Rural,0
LP002031,Male,1,1,Not Graduate,0,3399.00,1640.00,111.00,180,1,Urban,1
